 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_as_reg_5_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_as_reg_3_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_alu_reg_9_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_alu_reg_2_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_alu_reg_4_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_alu_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/inst_alu_reg_3_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/exec_jmp_reg  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_2_  (HS65_GS_DFPRQX4)
       8                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                6(0/6)   25.00%        /frontend_0/inst_sz_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_3_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_as_reg_0_  (HS65_GS_DFPRQX4)
       8                5(5/0)                0(0/0)             0(0/0/0/0/0)       0                3(0/3)   62.50%        /frontend_0/inst_sz_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/i_state_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/e_state_reg_2_  (HS65_GS_DFPRQX4)
       8                5(5/0)                0(0/0)             0(0/0/0/0/0)       0                3(0/3)   62.50%        /frontend_0/inst_as_reg_7_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_4_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/e_state_reg_1_  (HS65_GS_DFPRQX4)
       8                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                6(2/4)   25.00%        /frontend_0/cpu_halt_st_reg  (HS65_GS_DFPRQX4)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%        /frontend_0/e_state_reg_3_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_5_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_6_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_7_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_1_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_3_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_2_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_2_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_6_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_5_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_4_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_0_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_7_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_3_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_8_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_8_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_4_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_9_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_5_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_9_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_6_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_10_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_10_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_7_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_8_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_dext_reg_11_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_11_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_9_  (HS65_GS_DFPRQX4)
       8                2(2/0)                0(0/0)             0(0/0/0/0/0)       0                6(1/5)   25.00%        /frontend_0/inst_dext_reg_12_  (HS65_GS_DFPRQX4)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%        /frontend_0/inst_sext_reg_12_  (HS65_GS_DFPRQX4)
       8                8(8/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%        /frontend_0/pc_reg_10_  (HS65_GS_DFPRQX4)
